@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
331,'2017/06/26 16:27:22:216',3,82,10,95,?,?,?
332,'2017/06/26 16:27:22:266',3,81,9,96,?,?,?
333,'2017/06/26 16:27:22:316',3,81,9,95,?,?,?
334,'2017/06/26 16:27:22:364',3,81,10,95,?,?,?
335,'2017/06/26 16:27:22:413',3,80,9,93,?,?,?
336,'2017/06/26 16:27:22:462',3,80,8,94,?,?,?
337,'2017/06/26 16:27:22:511',3,80,7,93,?,?,?
338,'2017/06/26 16:27:22:560',3,80,7,92,?,?,?
339,'2017/06/26 16:27:22:609',3,79,6,93,?,?,?
340,'2017/06/26 16:27:22:658',3,79,6,94,?,?,?
341,'2017/06/26 16:27:22:707',3,78,7,93,?,?,?
342,'2017/06/26 16:27:22:757',3,77,6,95,?,?,?
343,'2017/06/26 16:27:22:806',3,76,6,94,?,?,?
344,'2017/06/26 16:27:22:856',3,76,5,94,?,?,?
345,'2017/06/26 16:27:22:905',3,75,5,96,?,?,?
346,'2017/06/26 16:27:22:954',3,75,5,96,?,?,?
347,'2017/06/26 16:27:23:002',3,75,6,94,?,?,?
348,'2017/06/26 16:27:23:051',3,74,5,95,?,?,?
349,'2017/06/26 16:27:23:101',3,73,5,95,?,?,?
350,'2017/06/26 16:27:23:149',3,74,5,94,?,?,?
351,'2017/06/26 16:27:23:197',3,74,5,93,?,?,?
352,'2017/06/26 16:27:23:247',3,75,5,93,?,?,?
353,'2017/06/26 16:27:23:295',3,75,5,93,?,?,?
354,'2017/06/26 16:27:23:343',3,74,4,94,?,?,?
355,'2017/06/26 16:27:23:392',3,74,5,94,?,?,?
356,'2017/06/26 16:27:23:441',3,76,5,93,?,?,?
357,'2017/06/26 16:27:23:490',3,75,6,93,?,?,?
358,'2017/06/26 16:27:23:539',3,77,6,91,?,?,?
359,'2017/06/26 16:27:23:587',3,77,5,92,?,?,?
360,'2017/06/26 16:27:23:635',3,77,5,93,?,?,?
361,'2017/06/26 16:27:23:684',3,77,6,93,?,?,?
362,'2017/06/26 16:27:23:733',3,78,5,93,?,?,?
363,'2017/06/26 16:27:23:783',3,78,5,92,?,?,?
364,'2017/06/26 16:27:23:832',3,78,5,92,?,?,?
365,'2017/06/26 16:27:23:880',3,79,5,92,?,?,?
366,'2017/06/26 16:27:23:929',3,78,5,93,?,?,?
367,'2017/06/26 16:27:23:978',3,78,5,93,?,?,?
368,'2017/06/26 16:27:24:026',3,78,5,93,?,?,?
369,'2017/06/26 16:27:24:074',3,79,5,92,?,?,?
370,'2017/06/26 16:27:24:122',3,79,5,93,?,?,?
371,'2017/06/26 16:27:24:171',3,79,5,93,?,?,?
372,'2017/06/26 16:27:24:220',3,79,5,93,?,?,?
373,'2017/06/26 16:27:24:268',3,79,5,93,?,?,?
374,'2017/06/26 16:27:24:316',3,78,6,92,?,?,?
375,'2017/06/26 16:27:24:367',3,78,6,92,?,?,?
376,'2017/06/26 16:27:24:415',3,78,5,92,?,?,?
377,'2017/06/26 16:27:24:463',3,78,5,94,?,?,?
378,'2017/06/26 16:27:24:520',3,76,5,94,?,?,?
379,'2017/06/26 16:27:24:568',3,76,6,94,?,?,?
380,'2017/06/26 16:27:24:617',3,76,6,93,?,?,?
381,'2017/06/26 16:27:24:666',3,76,5,93,?,?,?
382,'2017/06/26 16:27:24:714',3,77,6,93,?,?,?
383,'2017/06/26 16:27:24:763',3,77,6,93,?,?,?
384,'2017/06/26 16:27:24:812',3,77,6,93,?,?,?
385,'2017/06/26 16:27:24:861',3,77,6,94,?,?,?
386,'2017/06/26 16:27:24:911',3,76,6,93,?,?,?
387,'2017/06/26 16:27:24:959',3,77,5,93,?,?,?
388,'2017/06/26 16:27:25:008',3,77,5,94,?,?,?
389,'2017/06/26 16:27:25:062',3,76,5,95,?,?,?
390,'2017/06/26 16:27:25:110',3,78,5,93,?,?,?
391,'2017/06/26 16:27:25:160',3,77,6,93,?,?,?
392,'2017/06/26 16:27:25:209',3,78,6,92,?,?,?
393,'2017/06/26 16:27:25:258',3,78,6,93,?,?,?
394,'2017/06/26 16:27:25:307',3,77,6,94,?,?,?
395,'2017/06/26 16:27:25:355',3,78,6,93,?,?,?
396,'2017/06/26 16:27:25:404',3,77,6,93,?,?,?
397,'2017/06/26 16:27:25:453',3,76,6,94,?,?,?
398,'2017/06/26 16:27:25:502',3,76,7,94,?,?,?
399,'2017/06/26 16:27:25:550',3,76,6,94,?,?,?
400,'2017/06/26 16:27:25:598',3,76,6,94,?,?,?
401,'2017/06/26 16:27:25:647',3,76,6,94,?,?,?
402,'2017/06/26 16:27:25:697',3,77,7,93,?,?,?
403,'2017/06/26 16:27:25:747',3,76,6,95,?,?,?
404,'2017/06/26 16:27:25:797',3,76,6,95,?,?,?
405,'2017/06/26 16:27:25:846',3,76,6,94,?,?,?
406,'2017/06/26 16:27:25:896',3,77,6,94,?,?,?
407,'2017/06/26 16:27:25:944',3,77,6,94,?,?,?
408,'2017/06/26 16:27:25:993',3,78,7,93,?,?,?
409,'2017/06/26 16:27:26:042',3,77,6,95,?,?,?
